title,director mean, director linear, director quad,writer mean, writer linear, writer quad,actor mean, actor linear, actor quad,rating, action adventure, drama, scifi fantasy, animation,comedy, kids family, art international, mystery suspense,romance, documentary, horror
Paris Was a Woman,66.66666666666667,66.66666666666667,66.66666666666667,60.0,60.0,60.0,59.2991452991453,59.1990231990232,59.16419812071987,5,0,0,0,0,0,0,0,0,0,1,0,60
The Pillow Book,76.78787878787878,76.78787878787878,76.78787878787878,74.08791208791209,74.08791208791209,74.08791208791209,64.95517075878874,64.55861699071608,64.62500015566755,4,0,1,0,0,0,0,1,0,0,0,0,66
Poison Ivy II,17.0,17.0,17.0,25.666666666666668,25.666666666666668,25.666666666666668,27.750834042500706,29.866791665124996,29.12512272383701,3,0,1,0,0,0,0,0,1,0,0,0,17
Powder,24.285714285714285,24.285714285714285,24.285714285714285,30.733333333333334,30.733333333333334,30.733333333333334,45.39013103041949,44.78815484455633,45.09620059119237,2,0,1,1,0,0,0,0,0,0,0,0,47
The Prophecy,43.0,43.0,43.0,26.0,26.0,26.0,47.04657265726977,48.441065138453496,48.108837700235775,3,0,0,1,0,0,0,0,1,0,0,1,43
Proteus,28.0,28.0,28.0,28.0,28.0,28.0,45.646685414613806,49.28067126015974,48.59959873721348,3,0,1,0,0,0,0,1,1,0,1,0,28
Rendezvous in Paris,88.93506493506493,88.93506493506493,88.93506493506493,82.21904761904761,82.21904761904761,82.21904761904761,72.68937728937729,70.81779173207745,71.67026810724292,5,0,1,0,0,1,0,1,0,0,0,0,76
Roommates,55.21637426900585,55.21637426900585,55.21637426900585,26.333333333333332,26.333333333333332,26.333333333333332,41.08487645609343,43.2117195885615,42.3830845727665,1,0,0,0,0,1,0,0,0,0,0,0,29
Rough Magic,52.666666666666664,52.666666666666664,52.666666666666664,32.761904761904766,27.942857142857143,30.398095238095237,38.80774163987829,43.762018784133474,42.58307863958882,2,0,1,1,0,1,0,1,1,0,0,0,14
Safe,76.57142857142857,76.57142857142857,76.57142857142857,76.26666666666667,76.26666666666667,76.26666666666667,65.37116314064826,61.82843294763899,62.383517402248934,3,0,1,0,0,0,0,0,1,0,0,0,85
Brother of Sleep,77.66666666666667,77.66666666666667,77.66666666666667,71.0,71.0,71.0,69.68188644688644,70.40875109017966,70.43351502626368,3,0,1,0,0,0,0,1,0,1,0,0,71
The Show,33.0,33.0,33.0,0.0,0.0,0.0,35.922845230773625,31.681256445450817,33.067989139102345,3,0,1,0,0,0,0,0,0,0,0,0,0
Showgirls,63.74285714285714,63.74285714285714,63.74285714285714,39.8014705882353,39.8014705882353,39.8014705882353,34.882765509369406,36.68284821751675,35.91385391376586,4,0,1,0,0,0,0,0,0,0,0,0,22
Sleepover,28.8,28.8,28.8,17.666666666666668,17.666666666666668,17.666666666666668,39.64331485714524,38.9482195674853,39.1254320579069,1,0,0,0,0,1,1,0,0,0,0,0,15
Small Faces,58.107142857142854,58.107142857142854,58.107142857142854,66.33333333333334,66.55555555555556,66.42857142857143,61.16448780269343,59.63217233620742,60.301377835143,3,0,1,0,0,1,0,0,0,0,0,0,67
Something to Talk About,51.175,51.175,51.175,49.0,49.0,49.0,45.246886140062436,46.69215952126003,46.107215853326494,3,0,1,0,0,1,0,0,0,1,0,0,39
Species,53.72794117647059,53.72794117647059,53.72794117647059,23.6,23.6,23.6,41.58858009222668,42.967033180637785,42.338380032628535,3,0,0,1,0,0,0,0,0,0,0,0,36
Talk of the Town,88.475,88.475,88.475,79.85357142857143,73.48428571428572,76.63228571428571,86.01836587044917,85.75169540677766,85.9226876947915,5,0,1,0,0,1,0,0,0,0,0,0,93
Steal Big Steal Little,50.5,50.5,50.5,17.349999999999998,19.02857142857143,18.1527950310559,38.45691632554413,40.946655702807554,40.40564897351166,2,0,0,0,0,1,0,0,0,0,0,0,15
Stonewall,63.0,63.0,63.0,51.666666666666664,51.666666666666664,51.666666666666664,55.00388326939904,53.59146100954796,54.02374345036884,3,0,1,0,0,0,0,1,0,0,1,0,63
Strange Days,72.87878787878788,72.87878787878788,72.87878787878788,63.51717171717171,68.30606060606061,66.90055096418733,54.86103090441585,53.51629949977426,53.6517619438569,3,0,1,1,0,0,0,0,1,0,0,0,62
Stuart Saves His Family,39.49090909090909,39.49090909090909,39.49090909090909,71.0,71.0,71.0,41.5178363988443,42.02309214078308,41.648091701340135,2,0,0,0,0,1,0,0,0,0,0,0,30
Sweet Nothing,47.142857142857146,47.142857142857146,47.142857142857146,36.0,36.0,36.0,47.740866672947625,47.00296468030063,47.048017308555856,3,0,1,0,0,0,0,0,0,0,0,0,36
Tales from the Hood,26.2,26.2,26.2,35.43333333333334,37.68888888888889,36.4,44.96505824719565,45.34527778628845,45.38370414205223,3,0,0,0,0,0,0,0,0,0,0,1,47
Tank Girl,26.166666666666668,26.166666666666668,26.166666666666668,58.333333333333336,58.333333333333336,58.333333333333336,41.77845567357823,43.74886347219819,42.99198264286353,3,1,0,1,0,1,0,0,0,0,0,0,37
Three Wishes,42.018181818181816,42.018181818181816,42.018181818181816,35.5,35.5,35.5,30.83931710838105,37.07392877462313,35.64113895598883,1,0,1,1,0,1,1,0,0,0,0,0,13
Land and Freedom,83.2536231884058,83.2536231884058,83.2536231884058,84.66666666666667,84.66666666666667,84.66666666666667,73.39333639070482,72.13269113418366,72.58059872303247,5,0,1,0,0,0,0,0,0,0,0,0,75
Tommy Boy,38.77777777777778,38.77777777777778,38.77777777777778,55.833333333333336,55.833333333333336,55.833333333333336,43.80561531017792,44.70693942883518,44.520924962030364,2,0,0,0,0,1,0,0,0,0,0,0,43
Total Eclipse,69.3956043956044,69.3956043956044,69.3956043956044,51.75238095238095,51.75238095238095,51.75238095238095,48.91305977972644,50.03955628517033,49.02709323183748,3,0,1,0,0,0,0,1,0,0,0,0,25
Toy Story,71.66666666666667,71.66666666666667,71.66666666666667,50.99903846153846,61.73703296703296,57.81934065934066,65.5927687695481,62.245991297928086,62.69254216242807,0,0,0,1,1,1,1,0,0,0,0,0,100
Two Bits,34.11538461538461,34.11538461538461,34.11538461538461,48.2,48.2,48.2,47.24473142221822,47.5957949613095,47.502999950671345,2,0,1,0,0,0,0,0,0,0,0,0,40
Unstrung Heroes,40.666666666666664,40.666666666666664,40.666666666666664,61.86842105263158,61.86842105263158,61.86842105263158,59.01713141416609,56.54288292402744,57.13307567470007,1,0,1,0,0,1,0,0,0,0,0,0,74
Unzipped,59.666666666666664,59.666666666666664,59.666666666666664,0,0,0,54.41449126037362,54.62658508376156,54.9144240775098,3,0,0,0,0,0,0,0,0,0,1,0,79
Vampire in Brooklyn,50.34632034632035,50.34632034632035,50.34632034632035,6.333333333333334,7.333333333333333,6.761904761904762,27.03838806210353,30.73012857836357,29.414917728496114,3,0,0,0,0,1,0,0,0,0,0,1,10
Virtuosity,42.464285714285715,42.464285714285715,42.464285714285715,26.761904761904763,26.761904761904763,26.761904761904763,41.63966005132737,41.164869078094384,40.79675118319427,3,1,0,1,0,0,0,0,1,0,0,1,33
Waiting to Exhale,21.0,21.0,21.0,44.87142857142857,46.803174603174604,45.69931972789116,51.58241376099489,50.36502007474287,50.77410428952536,3,0,1,0,0,1,0,0,0,0,0,0,54
Welcome to the Dollhouse,67.25,67.25,67.25,71.23809523809524,71.23809523809524,71.23809523809524,73.89462421154887,68.41687142811521,70.12077646903718,3,0,1,0,0,1,0,0,0,0,0,0,90
When Night Is Falling,75.6,75.6,75.6,86.4,86.4,86.4,50.59629495663978,50.92843230574628,50.89826929089987,4,0,1,0,0,0,0,0,0,1,0,0,50
While You Were Sleeping,44.70909090909091,44.70909090909091,44.70909090909091,80.0,80.0,79.99999999999999,52.76498371565057,53.385206408009445,53.5695166412488,1,0,1,0,0,1,0,0,0,1,0,0,80
Wild Bill,49.06060606060606,49.06060606060606,49.06060606060606,56.78421052631579,56.78421052631579,56.78421052631579,48.92640460040974,48.9647067869886,48.921414463069134,3,1,1,0,0,0,0,0,0,0,0,0,41
Wild Side,67.0,64.66666666666667,66.0,55.5,57.0,56.142857142857146,54.39085561465187,53.37152333563545,53.933790791950884,3,1,1,0,0,0,0,0,1,0,0,0,60
Shanghai Triad,70.26797385620915,70.26797385620915,70.26797385620915,86.0,86.0,86.0,78.70833333333333,77.216091954023,77.43347978520393,3,1,1,0,0,0,0,1,0,0,0,0,86
101 Dalmatians,89.24853896103896,90.33337662337662,90.0524155844156,83.87272727272727,83.87272727272727,83.87272727272727,82.0594999722677,80.62398815270387,80.74093942539366,0,0,0,0,1,1,1,0,1,0,0,0,98
2 Days in the Valley,25.3,25.3,25.3,31.5,31.5,31.5,50.447728253929135,51.10942527939116,50.78706725003726,3,0,1,0,0,1,0,0,1,0,0,0,59
Albino Alligator,42.666666666666664,42.666666666666664,42.666666666666664,44.0,44.0,44.0,49.60772934877622,50.08743170509547,49.97105406938655,3,0,1,0,0,0,0,0,1,0,0,0,44
American Buffalo,48.42857142857143,48.42857142857143,48.42857142857143,67.03448275862068,67.03448275862068,67.03448275862068,64.39719419924339,65.61341950399327,65.32094462914135,3,0,1,0,0,0,0,0,1,0,0,0,74
The Apartment,85.48,85.48,85.48,82.62412634408602,82.91272401433692,82.74781105990783,64.38699213542684,60.05279232026176,60.985138304266606,5,0,1,0,0,1,0,0,0,1,0,0,93
Around the Block,63.0,63.0,63.0,63.0,63.0,63.0,63.889549319727884,63.541063132570095,63.64691499103093,5,0,1,0,0,0,0,0,0,0,0,0,63
August,44.0,44.0,44.0,65.33333333333333,65.33333333333333,65.33333333333333,46.793453142717844,48.33631754726182,47.98135533257956,3,0,1,0,0,0,0,0,0,0,0,0,36
Bad Moon,38.666666666666664,38.666666666666664,38.666666666666664,43.32142857142857,43.32142857142857,43.32142857142857,42.89277715038585,44.04225296442688,43.44265951439865,3,0,0,0,0,0,0,0,1,0,0,1,38
Under the Skin,87.0,87.0,87.0,87.0,87.0,87.0,75.54280594014138,69.42760609523592,71.34154328452102,5,0,1,0,0,0,0,1,0,0,1,0,87
Barb Wire,20.0,20.0,20.0,27.476190476190474,27.65079365079365,27.551020408163264,39.39078866192115,41.54677702177989,41.03662089708665,3,1,1,1,0,0,0,0,0,0,0,0,28
Basquiat,59.666666666666664,59.666666666666664,59.666666666666664,71.0,71.33333333333333,71.14285714285714,62.153938839986765,60.795982717408215,61.13672112534583,3,0,1,0,0,0,0,0,0,0,0,0,70
Bastard Out of Carolina,60.666666666666664,60.666666666666664,60.666666666666664,50.0,50.0,50.0,68.23247939512609,64.1170464883019,65.77762603362265,3,0,1,0,0,0,0,0,0,0,0,0,100
Beaumarchais the Scoundrel,80.0,80.0,80.0,75.0,76.66666666666667,75.71428571428571,68.56462985111368,67.10858561801314,67.39868889345001,5,1,1,0,0,0,0,1,0,1,0,0,70
Beautiful Girls,67.89285714285714,67.89285714285714,67.89285714285714,44.28888888888889,44.28888888888889,44.28888888888889,62.73732471641361,56.5303153939281,58.44020553196308,3,0,1,0,0,1,0,0,0,0,0,0,79
Beautiful Thing,90.0,90.0,90.0,90.0,90.0,90.0,77.8265142608644,80.39606725919724,79.7400146541211,3,0,1,0,0,1,0,0,0,0,0,0,90
Beavis and Butt-Head Do America,65.76666666666667,64.45714285714286,64.4198757763975,57.36666666666666,61.02222222222222,58.93333333333333,64.70775050325497,62.716785081108036,63.3645042309547,2,0,0,0,1,1,0,0,0,0,0,0,72
Bed of Roses,19.0,19.0,19.0,55.7,55.7,55.7,42.10028300925782,45.18156493498573,44.259751849288264,1,0,1,0,0,0,0,0,0,1,0,0,19
Big Bully,28.714285714285715,28.714285714285715,28.714285714285715,24.607142857142858,24.607142857142858,24.607142857142858,23.245778295756153,27.01002109303989,25.991579851353137,1,0,1,0,0,1,0,0,0,0,0,0,0
Big Night,63.63333333333334,63.37777777777777,63.523809523809526,79.55,85.03333333333333,81.89999999999999,60.172023187209895,60.861517375787294,61.03693855217919,3,0,1,0,0,1,0,0,0,1,0,0,96
Black Mask,58.666666666666664,58.666666666666664,58.666666666666664,53.5919413919414,52.56703296703297,52.90210140736457,53.149917745090164,56.11417331437036,56.021930479030495,3,1,0,0,0,0,0,1,0,0,0,0,48
Black Sheep,71.0,71.0,71.0,71.0,71.0,71.0,69.96060606060605,70.77272727272727,70.54510218463706,3,0,0,0,0,1,0,0,0,0,0,1,71
Blood and Wine,56.598484848484844,55.13131313131313,55.96969696969696,58.62619047619047,60.08190476190477,59.11352380952381,50.51167899486502,53.64121130781254,52.22519274753621,3,0,1,0,0,0,0,0,1,0,0,0,61
Bogus,63.50333333333333,63.50333333333333,63.50333333333333,63.65612648221344,63.65612648221344,63.65612648221344,43.6571096501181,44.45867572473188,44.13665431971208,1,0,0,0,0,1,0,0,0,0,0,0,40
Bottle Rocket,86.06666666666666,86.06666666666666,86.06666666666666,76.18333333333334,72.88888888888889,74.77142857142857,62.45006345911316,58.06780021322571,59.48696996611911,3,0,1,0,0,1,0,0,0,0,0,0,85
Bound,68.87761904761905,67.33920634920635,69.42097744360903,0,0,0,54.52469156123781,49.00900466613169,50.4576778516497,3,0,1,0,0,0,0,0,1,0,0,0,92
Brassed Off,55.8,55.8,55.8,54.8,54.8,54.8,71.97809883350699,69.28396795511186,70.35231698960905,3,0,1,0,0,1,0,0,0,0,0,0,79
Breaking the Waves,69.51428571428572,69.51428571428572,69.51428571428572,76.44285714285715,72.81269841269841,74.88707482993198,74.25594959633821,71.79627925554699,72.91065872965648,3,0,1,0,0,0,0,1,0,1,0,0,84
Broken English,64.0,64.0,64.0,64.0,64.0,64.0,55.03035170861055,54.209422495387734,54.696687023078056,2,0,1,0,0,1,0,1,0,0,0,0,64
Cannes Man,50.0,50.0,50.0,0,0,0,49.95052358969394,49.88210783579377,50.09844063583319,3,0,0,0,0,1,0,0,0,0,0,0,50
Celtic Pride,32.66666666666667,40.55555555555556,36.04761904761905,35.53333333333333,44.37777777777777,39.32380952380952,33.90061542437979,37.54931678137325,37.21689578289948,2,0,0,0,0,1,0,0,0,0,0,0,9
Chalk,81.0,81.0,81.0,81.0,81.0,81.0,77.22222222222223,77.1880341880342,76.83087834151665,2,0,1,0,0,1,0,0,0,0,0,0,81
The Chamber,34.11538461538461,34.11538461538461,34.11538461538461,39.210758377425044,45.03835978835979,43.27380952380952,30.005080862624546,33.57415829172844,32.31605036372375,3,0,1,0,0,0,0,0,1,0,0,0,12
Children of the Revolution,90.0,90.0,90.0,86.66666666666667,86.66666666666667,86.66666666666667,67.36997898438781,64.00844243543516,65.0680277206894,3,0,0,0,0,1,0,0,0,0,0,0,80
Chronicle of a Disappearance,82.33333333333333,82.33333333333333,82.33333333333333,82.33333333333333,82.33333333333333,82.33333333333333,78.72666666666666,77.66060606060607,78.21538461538464,5,0,1,0,0,1,0,1,0,0,0,0,80
Citizen Ruth,79.78571428571429,79.78571428571429,79.78571428571429,63.43055555555556,62.166666666666664,62.88888888888889,72.17167658608072,66.55543207695372,68.59570595177593,3,0,0,0,0,1,0,0,0,0,0,0,80
City Hall,44.861111111111114,44.861111111111114,44.861111111111114,62.80142857142857,64.21514285714287,63.99297142857144,53.83345523450825,53.12067942616066,53.360910643528165,3,0,1,0,0,0,0,0,1,0,0,0,54
Color of a Brisk and Leaping Day,69.1,69.1,69.1,0,0,0,36.46314140227183,32.37324716020368,34.40570287057244,5,0,1,0,0,0,0,1,0,0,0,0,20
Commandments,28.666666666666668,28.666666666666668,28.666666666666668,53.95238095238095,53.95238095238095,53.95238095238095,48.9351019355223,48.904072224098826,49.265358274626266,3,0,1,0,0,1,0,0,0,0,0,0,24
Courage Under Fire,57.14102564102564,57.14102564102564,57.14102564102564,54.285714285714285,54.285714285714285,54.285714285714285,60.7084387782117,59.60629489205462,60.02957666195667,3,0,1,0,0,0,0,0,0,0,0,0,85
The Craft,42.30555555555556,42.30555555555556,42.30555555555556,51.54761904761905,52.285714285714285,51.86394557823129,49.95078322764629,48.400574724698416,48.836623718068815,3,0,1,0,0,0,0,0,0,0,0,1,50
Curdled,17.0,17.0,17.0,17.0,17.0,17.0,28.904456105203412,33.67970767498044,32.61711176393443,3,0,1,0,0,1,0,0,1,0,0,0,17
Daylight,25.303030303030305,25.303030303030305,25.303030303030305,23.22222222222222,23.22222222222222,23.22222222222222,43.59953379487313,44.661989197014705,44.1504470059865,2,1,1,0,0,0,0,0,0,0,0,0,26
Dead Girl,77.0,77.0,77.0,77.0,77.0,77.0,56.74846756184012,54.013784476820625,54.52045354962125,3,0,1,0,0,0,0,1,1,0,0,0,75
Dear God,24.725490196078432,24.725490196078432,24.725490196078432,22.25,25.666666666666668,23.714285714285715,32.61253893946112,34.836932200915165,33.85504509343769,1,0,0,0,0,1,0,0,0,0,0,0,12
The Delta,79.33333333333333,79.33333333333333,79.33333333333333,83.9,83.9,83.9,65.44021164021164,65.07311207311207,65.19549008592563,5,0,1,0,0,0,0,0,0,0,0,0,67
The Delta,79.33333333333333,79.33333333333333,79.33333333333333,83.9,83.9,83.9,65.44021164021164,65.07311207311207,65.19549008592563,5,0,1,0,0,0,0,0,0,0,0,0,67
Diabolique,32.86666666666667,35.71111111111111,34.08571428571428,51.955555555555556,51.955555555555556,51.955555555555556,38.92820804165598,45.26988651902994,43.7447601951404,3,0,1,0,0,0,0,0,1,0,0,0,12
Different for Girls,48.0,48.0,48.0,48.0,48.0,48.0,53.85605569063002,54.87746491226071,54.558399955302825,3,0,1,0,0,1,0,1,0,1,0,0,48
Dog Run,33.0,33.0,33.0,33.0,33.0,32.99999999999999,34.49999999999999,35.172413793103445,35.030104947526226,3,0,1,0,0,0,0,0,0,0,0,0,33
Down Periscope,27.761904761904763,27.761904761904763,27.761904761904763,20.50925925925926,23.347222222222225,21.799242424242422,34.61830153906463,38.90701364085454,38.00227738592118,2,0,0,0,0,1,0,0,0,0,0,0,12
DragonHeart,25.303030303030305,25.303030303030305,25.303030303030305,49.86666666666667,49.76666666666667,49.827272727272714,50.15195674258961,50.5472534809608,50.34489468804361,2,1,1,1,0,0,0,0,0,0,0,0,50
Drawing Flies,42.971428571428575,42.17830687830688,42.66405529953917,46.666666666666664,35.55555555555556,41.904761904761905,50.54503624984136,49.52133587700172,50.32967664976931,5,0,0,0,0,1,0,1,0,0,0,0,40
Dream for an Insomniac,50.0,50.0,50.0,50.0,50.0,50.0,45.65220236229661,44.97881023862609,44.93061543425308,3,0,1,0,0,1,0,0,0,1,0,0,50
Dunston Checks In,41.054545454545455,41.054545454545455,41.054545454545455,47.91666666666667,45.611111111111114,46.92857142857143,31.399200671919775,36.260945028482205,35.221620486560106,1,0,0,0,0,1,1,0,0,0,0,0,6
Ed,100.0,100.0,100.0,16.833333333333332,18.25,16.84090909090909,33.207600553906644,32.800463512100364,32.76006069750743,1,0,0,0,0,1,1,0,0,0,0,0,0
Eddie,27.472727272727273,27.472727272727273,27.472727272727273,25.935185185185187,26.166666666666668,26.15777777777778,26.19896297706165,29.98543703285309,28.75821963222042,2,0,0,0,0,1,0,0,0,0,0,0,15
Eraser,32.464285714285715,32.464285714285715,32.464285714285715,43.70384615384616,43.32461538461538,44.092615384615385,44.9831550308918,45.947278269798424,45.704052828642695,3,1,0,0,0,0,0,0,1,0,0,0,36
Everyone Says I Love You,65.05714285714286,65.05714285714286,65.05714285714286,64.91836734693878,64.91836734693878,64.91836734693878,67.37550651285753,63.732631388796094,64.82439074330131,3,0,1,0,0,1,0,0,0,0,0,0,79
Everything Relative,25.0,25.0,25.0,25.0,25.0,25.0,38.71282740951859,35.75614824429704,36.822543428450494,3,0,1,0,0,1,0,1,0,0,0,0,25
Evita,67.76666666666667,67.76666666666667,67.76666666666667,62.82444005270092,61.437637241985065,62.23009599096555,62.47338332485753,61.821538279330206,62.47835980383954,1,0,1,0,0,0,0,0,0,0,0,0,65
Executive Decision,38.166666666666664,38.166666666666664,38.166666666666664,35.23809523809524,35.23809523809524,35.23809523809524,54.34277702856139,53.10258960894869,53.26203556628497,3,1,0,0,0,0,0,0,0,0,0,0,63
Extreme Measures,63.28333333333333,63.28333333333333,63.28333333333333,64.29239766081871,64.29239766081871,64.29239766081871,49.56245012708133,49.455608750622105,49.39773268300508,3,0,1,0,0,0,0,0,1,0,0,0,55
Eye of God,52.2,52.2,52.2,49.9,49.9,49.9,61.49914666142901,59.80785547520859,60.31426911274661,3,0,1,0,0,0,0,1,0,0,0,0,74
Faithful,65.13186813186813,65.13186813186813,65.13186813186813,97.0,97.0,97.0,39.896910008395324,41.995367703724966,41.0372356675201,3,0,1,0,0,1,0,0,0,0,0,0,7
Familia,88.33333333333333,88.33333333333333,88.33333333333333,88.33333333333333,88.33333333333333,88.33333333333333,81.16319444444444,82.19248366013072,82.65886243386242,5,0,1,0,0,1,0,1,0,0,0,0,89
Fargo,83.96491228070175,83.96491228070175,83.96491228070175,71.08250988142292,71.36725955204216,71.20454545454545,70.89400974667902,64.3976631453885,66.31630106215937,3,0,1,0,0,0,0,0,1,0,0,0,93
Feeling Minnesota,0,0,0,66.0,66.0,66.0,39.131564588612,41.899913225184,40.76460690655618,3,1,1,0,0,1,0,0,0,1,0,0,14
Female Perversions,64.0,64.0,64.0,64.0,64.0,64.0,57.04955875580051,55.903665538562684,55.88202083073569,3,0,1,0,0,0,0,1,0,0,0,0,64
Temptress Moon,50.18181818181818,50.18181818181818,50.18181818181818,62.0,62.0,62.0,61.68289351313648,62.235658858405024,61.96078275411716,3,0,1,0,0,0,0,1,0,0,0,0,62
